DateKey,FullDate,Day,Month,MonthName,Quarter,Year,DayOfWeek,WeekNumber,IsWeekend
20101201,2010-12-01,1,12,December,4,2010,Wednesday,48,False
20101202,2010-12-02,2,12,December,4,2010,Thursday,48,False
20101203,2010-12-03,3,12,December,4,2010,Friday,48,False
20101204,2010-12-04,4,12,December,4,2010,Saturday,48,True
20101205,2010-12-05,5,12,December,4,2010,Sunday,48,True
20101206,2010-12-06,6,12,December,4,2010,Monday,49,False
20101207,2010-12-07,7,12,December,4,2010,Tuesday,49,False
20101208,2010-12-08,8,12,December,4,2010,Wednesday,49,False
20101209,2010-12-09,9,12,December,4,2010,Thursday,49,False
20101210,2010-12-10,10,12,December,4,2010,Friday,49,False
20101211,2010-12-11,11,12,December,4,2010,Saturday,49,True
20101212,2010-12-12,12,12,December,4,2010,Sunday,49,True
20101213,2010-12-13,13,12,December,4,2010,Monday,50,False
20101214,2010-12-14,14,12,December,4,2010,Tuesday,50,False
20101215,2010-12-15,15,12,December,4,2010,Wednesday,50,False
20101216,2010-12-16,16,12,December,4,2010,Thursday,50,False
20101217,2010-12-17,17,12,December,4,2010,Friday,50,False
20101218,2010-12-18,18,12,December,4,2010,Saturday,50,True
20101219,2010-12-19,19,12,December,4,2010,Sunday,50,True
20101220,2010-12-20,20,12,December,4,2010,Monday,51,False
20101221,2010-12-21,21,12,December,4,2010,Tuesday,51,False
20101222,2010-12-22,22,12,December,4,2010,Wednesday,51,False
20101223,2010-12-23,23,12,December,4,2010,Thursday,51,False
20101224,2010-12-24,24,12,December,4,2010,Friday,51,False
20101225,2010-12-25,25,12,December,4,2010,Saturday,51,True
20101226,2010-12-26,26,12,December,4,2010,Sunday,51,True
20101227,2010-12-27,27,12,December,4,2010,Monday,52,False
20101228,2010-12-28,28,12,December,4,2010,Tuesday,52,False
20101229,2010-12-29,29,12,December,4,2010,Wednesday,52,False
20101230,2010-12-30,30,12,December,4,2010,Thursday,52,False
20101231,2010-12-31,31,12,December,4,2010,Friday,52,False
20110101,2011-01-01,1,1,January,1,2011,Saturday,52,True
20110102,2011-01-02,2,1,January,1,2011,Sunday,52,True
20110103,2011-01-03,3,1,January,1,2011,Monday,1,False
20110104,2011-01-04,4,1,January,1,2011,Tuesday,1,False
20110105,2011-01-05,5,1,January,1,2011,Wednesday,1,False
20110106,2011-01-06,6,1,January,1,2011,Thursday,1,False
20110107,2011-01-07,7,1,January,1,2011,Friday,1,False
20110108,2011-01-08,8,1,January,1,2011,Saturday,1,True
20110109,2011-01-09,9,1,January,1,2011,Sunday,1,True
20110110,2011-01-10,10,1,January,1,2011,Monday,2,False
20110111,2011-01-11,11,1,January,1,2011,Tuesday,2,False
20110112,2011-01-12,12,1,January,1,2011,Wednesday,2,False
20110113,2011-01-13,13,1,January,1,2011,Thursday,2,False
20110114,2011-01-14,14,1,January,1,2011,Friday,2,False
20110115,2011-01-15,15,1,January,1,2011,Saturday,2,True
20110116,2011-01-16,16,1,January,1,2011,Sunday,2,True
20110117,2011-01-17,17,1,January,1,2011,Monday,3,False
20110118,2011-01-18,18,1,January,1,2011,Tuesday,3,False
20110119,2011-01-19,19,1,January,1,2011,Wednesday,3,False
20110120,2011-01-20,20,1,January,1,2011,Thursday,3,False
20110121,2011-01-21,21,1,January,1,2011,Friday,3,False
20110122,2011-01-22,22,1,January,1,2011,Saturday,3,True
20110123,2011-01-23,23,1,January,1,2011,Sunday,3,True
20110124,2011-01-24,24,1,January,1,2011,Monday,4,False
20110125,2011-01-25,25,1,January,1,2011,Tuesday,4,False
20110126,2011-01-26,26,1,January,1,2011,Wednesday,4,False
20110127,2011-01-27,27,1,January,1,2011,Thursday,4,False
20110128,2011-01-28,28,1,January,1,2011,Friday,4,False
20110129,2011-01-29,29,1,January,1,2011,Saturday,4,True
20110130,2011-01-30,30,1,January,1,2011,Sunday,4,True
20110131,2011-01-31,31,1,January,1,2011,Monday,5,False
