StockCode,Description,AvgUnitPrice,TotalSold,PriceTier
10002,INFLATABLE POLITICAL GLOBE ,0.85,823,<£1
10080,GROOVY CACTUS INFLATABLE,0.41190476190476194,291,<£1
10120,DOGGY RUBBER,0.21,193,<£1
10123C,HEARTS WRAPPING TAPE ,0.65,5,<£1
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42000000000000004,16,<£1
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,17,<£1
10125,MINI FUNKY DESIGN TAPES,0.7828125,1226,<£1
10133,COLOURING PENCILS BROWN TUBE,0.5275,2384,<£1
10135,COLOURING PENCILS BROWN TUBE,1.1976859504132231,1938,£1-5
11001,ASSTD DESIGN RACING CAR PEN,1.851875,1252,£1-5
15030,FAN BLACK FRAME ,0.29,143,<£1
15034,PAPER POCKET TRAVELING FAN ,0.13692307692307693,6419,<£1
15036,ASSORTED COLOURS SILK FAN,0.8050153846153846,21876,<£1
15039,SANDALWOOD FAN,0.8364788732394366,1559,<£1
15044A,PINK PAPER PARASOL ,3.0168354430379747,428,£1-5
15044B,BLUE PAPER PARASOL ,2.9333333333333336,307,£1-5
15044C,PURPLE PAPER PARASOL,2.94344262295082,272,£1-5
15044D,RED PAPER PARASOL,2.9613513513513516,630,£1-5
15056BL,EDWARDIAN PARASOL BLACK,5.8937113402061865,2779,£5-15
15056N,EDWARDIAN PARASOL NATURAL,5.864685863874345,3826,£5-15
15056P,EDWARDIAN PARASOL PINK,5.941313868613139,769,£5-15
15058A,BLUE POLKADOT GARDEN PARASOL,7.8088235294117645,148,£5-15
15058B,PINK POLKADOT GARDEN PARASOL,7.8621951219512205,115,£5-15
15058C,ICE CREAM DESIGN GARDEN PARASOL,6.35,193,£5-15
15060B,FAIRY CAKE DESIGN UMBRELLA,3.820315789473684,411,£1-5
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.13614285714285712,2892,<£1
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,30,<£1
16011,ANIMAL STICKERS,0.21,1773,<£1
16012,FOOD/DRINK SPONGE STICKERS,0.21,1244,<£1
16014,SMALL CHINESE STYLE SCISSOR,0.4014814814814815,13328,<£1
16015,MEDIUM CHINESE STYLE SCISSOR,0.48833333333333334,662,<£1
16016,LARGE CHINESE STYLE SCISSOR,0.8460000000000001,1273,<£1
16020C,CLEAR STATIONERY BOX SET ,0.85,6,<£1
16033,MINI HIGHLIGHTER PENS,0.12,840,<£1
16043,POP ART PUSH DOWN RUBBER ,0.12,98,<£1
16045,POPART WOODEN PENCILS ASST,0.043478260869565216,8900,<£1
16046,TEATIME PEN CASE & PENS,0.85,67,<£1
16048,TEATIME ROUND PENCIL SHARPENER ,0.13224489795918368,1437,<£1
16049,TEATIME GEL PENS ASST,0.24,504,<£1
16052,TEATIME PUSH DOWN RUBBER,0.305,467,<£1
16054,POPART RECT PENCIL SHARPENER ASST,0.1290909090909091,1166,<£1
16151A,FLOWERS HANDBAG blue and orange,1.25,49,£1-5
16156L,WRAP CAROUSEL,0.42,475,<£1
16156S,WRAP PINK FAIRY CAKES ,0.4168862275449102,5800,<£1
16161G,WRAP BAD HAIR DAY,0.1,700,<£1
16161M,WRAP  PINK FLOCK,0.42,25,<£1
16161P,WRAP ENGLISH ROSE ,0.41943775100401604,7226,<£1
16161U,WRAP SUKI AND FRIENDS,0.41955223880597015,4075,<£1
16162L,THE KING GIFT BAG,0.65,17,<£1
16162M,THE KING GIFT BAG 25x24x12cm,0.42,26,<£1
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.42000000000000004,329,<£1
16169E,WRAP 50'S  CHRISTMAS,0.41919999999999996,4563,<£1
16169K,WRAP FOLK ART,0.42,200,<£1
16169M,WRAP DAISY CARPET ,0.42,660,<£1
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,25,<£1
16169P,WRAP GREEN RUSSIAN FOLKART ,0.42,50,<£1
16202A,PASTEL PINK PHOTO ALBUM ,0.5,7,<£1
16202B,PASTEL BLUE PHOTO ALBUM ,0.5,29,<£1
16202E,BLACK PHOTO ALBUM ,0.5,15,<£1
16206B,RED PURSE WITH PINK HEART,1.25,7,£1-5
16207A,PINK STRAWBERRY HANDBAG ,2.95,13,£1-5
16207B,PINK HEART RED HANDBAG,2.7866666666666666,4,£1-5
16216,LETTER SHAPE PENCIL SHARPENER,0.09463414634146342,3316,<£1
16218,CARTOON  PENCIL SHARPENERS,0.0732,3760,<£1
16219,HOUSE SHAPE PENCIL SHARPENER,0.09085106382978722,2915,<£1
16225,RATTLE SNAKE EGGS,1.1883116883116882,762,£1-5
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.2139506172839506,2665,<£1
16236,KITTY PENCIL ERASERS,0.20931506849315068,1296,<£1
16237,SLEEPING CAT ERASERS,0.20615384615384613,4598,<£1
16238,PARTY TIME PENCIL ERASERS,0.23562499999999997,1261,<£1
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.225,7,£1-5
16248B,BLUE HOLE PUNCH,1.25,13,£1-5
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.0233333333333332,31,£1-5
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.45921052631578946,445,<£1
16259,PIECE OF CAMO STATIONERY SET,0.0967741935483871,3380,<£1
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,72,<£1
17003,BROCADE RING PURSE ,0.3200956937799043,22963,<£1
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,24,£1-5
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.1333333333333335,80,£1-5
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1.1079999999999999,270,£1-5
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1.0763888888888888,455,£1-5
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1.1511363636363636,363,£1-5
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1.108695652173913,387,£1-5
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,1.525,59,£1-5
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.0035714285714286,365,£1-5
17013D,ORIGAMI ROSE INCENSE IN TUBE,0.8672727272727272,532,<£1
17014A,ORIGAMI VANILLA INCENSE CONES,0.6071428571428571,154,<£1
17021,NAMASTE SWAGAT INCENSE,0.2947368421052632,2427,<£1
17028J,INCENSE BAZAAR PEACH,0.42,6,<£1
17038,PORCELAIN BUDAH INCENSE HOLDER,0.09526315789473684,1501,<£1
17084A,TRANQUILITY MASALA INCENSE,0.21,200,<£1
17084J,LOVE POTION MASALA INCENSE,0.21,225,<£1
17084N,FAIRY DREAMS INCENSE ,0.2084375,1025,<£1
17084P,DRAGONS BLOOD INCENSE,0.21,349,<£1
17084R,ASSORTED INCENSE PACK,0.20259259259259257,4032,<£1
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.17,109,£1-5
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,29,£1-5
17091A,LAVENDER INCENSE IN TIN,0.7815384615384615,172,<£1
17091J,VANILLA INCENSE IN TIN,0.5476923076923077,2066,<£1
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.20076923076923076,2516,<£1
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,171,£1-5
17109D,FLOWER FAIRY INCENSE BOUQUET,0.9039999999999999,61,<£1
17129F,BLUE GLASS GEMS IN BAG,0.8436842105263158,427,<£1
17136A,BLUE STONES ON WIRE FOR CANDLE,0.0995,404,<£1
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42000000000000004,29,<£1
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.05,27,£1-5
17174,ASSTD RASTA KEY-CHAINS,0.42,9,<£1
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,4,£1-5
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.16666666666666666,5856,<£1
18094C,WHITE AND BLUE CERAMIC OIL BURNER,1.1966666666666665,134,£1-5
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,2.55,5,£1-5
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.5071428571428567,673,£1-5
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.918421052631579,193,£1-5
20615,BLUE POLKADOT PASSPORT COVER,1.4831428571428573,231,£1-5
20616,CHERRY BLOSSOM PASSPORT COVER,1.3172,134,£1-5
20617,FIRST CLASS PASSPORT COVER ,2.224615384615385,66,£1-5
20618,QUEEN OF THE SKIES PASSPORT COVER ,2.0707142857142857,68,£1-5
20619,TROPICAL PASSPORT COVER ,2.309090909090909,142,£1-5
20622,VIPPASSPORT COVER ,1.9933333333333334,163,£1-5
20652,BLUE POLKADOT LUGGAGE TAG ,1.4180555555555554,150,£1-5
20653,CHERRY BLOSSOM LUGGAGE TAG,1.6533333333333333,33,£1-5
20654,FIRST CLASS LUGGAGE TAG ,1.2341666666666666,105,£1-5
20655,QUEEN OF SKIES LUGGAGE TAG,1.31,89,£1-5
20657,TROPICAL LUGGAGE TAG,1.3513636363636363,61,£1-5
20658,RED RETROSPOT LUGGAGE TAG,1.25,328,£1-5
20659,ECONOMY LUGGAGE TAG,1.540625,95,£1-5
20661,BLUE POLKADOT PURSE ,4.654,9,£1-5
20662,FIRST CLASS HOLIDAY PURSE ,4.086,11,£1-5
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3.896666666666667,3,£1-5
20664,TROPICAL HOLIDAY PURSE ,2.9500000000000006,6,£1-5
20665,RED RETROSPOT PURSE ,2.944520547945206,340,£1-5
20666,ECONOMY HOLIDAY PURSE,2.95,4,£1-5
20667,CHERRY BLOSSOM PURSE,2.95,1,£1-5
20668,DISCO BALL CHRISTMAS DECORATION,0.11851063829787233,12714,<£1
20669,RED HEART LUGGAGE TAG,1.25,195,£1-5
20670,VIP HOLIDAY PURSE,3.896666666666667,8,£1-5
20671,BLUE TEATIME PRINT BOWL ,1.25,10,£1-5
20674,GREEN POLKADOT BOWL,1.2517105263157895,1373,£1-5
20675,BLUE POLKADOT BOWL,1.2419026548672567,2729,£1-5
20676,RED RETROSPOT BOWL,1.2438157894736843,4363,£1-5
20677,PINK POLKADOT BOWL,1.2583482142857143,3159,£1-5
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,4,£1-5
20679,EDWARDIAN PARASOL RED,5.920369003690038,1630,£5-15
20681,PINK POLKADOT CHILDRENS UMBRELLA,3.25,125,£1-5
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.312950819672131,1140,£1-5
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,78,£1-5
20685,DOORMAT RED RETROSPOT,7.75979274611399,3901,£5-15
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.302,255,£1-5
20694,FLORAL PINK MONSTER,3.75,36,£1-5
20695,FLORAL BLUE MONSTER,4.25,5,£1-5
20696,FLORAL SOFT CAR TOY,3.75,32,£1-5
20697,LITTLE GREEN MONSTER SOFT TOY,2.55,19,£1-5
20698,LITTLE PINK MONSTER SOFT TOY,2.55,16,£1-5
20699,MOUSEY LONG LEGS SOFT TOY,2.55,29,£1-5
20700,GREEN CAT FLORAL CUSHION COVER ,3.75,10,£1-5
20701,PINK CAT FLORAL CUSHION COVER ,3.75,6,£1-5
20702,PINK PADDED MOBILE,4.25,128,£1-5
20703,BLUE PADDED SOFT MOBILE,4.25,1,£1-5
